種類,Batch number,CERN ID,入庫NTU,製造商,正反面且清楚原檔,拍照 圖檔,,拍照檢查,Flatness紀錄,Thickness紀錄,肉眼檢查,肉眼檢查,肉眼檢查,,導通記錄,,,,,,,,,,,Flatness紀錄-1,,,link,備註
,,,,,Bare PCB,,,,,,,,,,,,,,,,,Assembled PCB(上件),,,,,,,,
,,,,,拍照,"溢膠檢查
階梯孔+邊緣=",溢膠檢查_備註,"Glue problems
(OK 請打勾)",Flatness,Thickness,Plating (BGA),Plating (Holes),Soldermask alignment,BGA照片(for影像分析),"Test coupons (observations, continuity measurements etc.)",更新文件,Accept?,上件完成日期,上件CERN ID,打件廠商,備註,標籤,已上件,目測,拍照,簡易Flatness紀錄-1,標示chip ID,HV-GND 短路線焊接,,
,2432,320070100300105,,Plotech,TRUE,320-07-01-003-00105,,TRUE,0.5~1.0,1.327,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00105,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300106,,Plotech,TRUE,320-07-01-003-00106,,TRUE,<0.50,1.319,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00106,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300107,,Plotech,TRUE,320-07-01-003-00107,,TRUE,<0.50,1.323,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00107,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300112,,Plotech,TRUE,320-07-01-003-00112,,TRUE,<0.50,1.323,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00112,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300113,,Plotech,TRUE,320-07-01-003-00113,,TRUE,0.5~1.0,1.311,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00113,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300114,,Plotech,TRUE,320-07-01-003-00114,,TRUE,<0.50,1.310,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00114,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300115,,Plotech,TRUE,320-07-01-003-00115,,TRUE,<0.50,1.305,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00115,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300124,,Plotech,TRUE,320-07-01-003-00124,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00124,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300126,,Plotech,TRUE,320-07-01-003-00126,,TRUE,<0.50,1.311,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00126,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2432,320070100300127,,Plotech,TRUE,320-07-01-003-00127,,TRUE,<0.50,1.320,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00127,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300176,,Plotech,TRUE,320-07-01-003-00176,,TRUE,<0.50,1.314,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00176,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300177,,Plotech,TRUE,320-07-01-003-00177,,TRUE,<0.50,1.317,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00177,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300178,,Plotech,TRUE,320-07-01-003-00178,,TRUE,<0.50,1.317,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00178,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300179,,Plotech,TRUE,320-07-01-003-00179,,TRUE,<0.50,1.314,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.15,320XHF4BPP00004,MT,短路電阻方式:SMD零歐姆電阻 (尺寸規格：2512),TRUE,TRUE,TRUE,TRUE,<0.5,"1.HGCROC 3B
ICRH3b
013504 2824
2.HGCROC 3B
ICRH3b
013028 2824
3.HGCROC 3B
ICRH3b
013215 2824
4.HGCROC 3B
ICRH3b
013208 2824
5.HGCROC 3B
ICRH3b
013575 2824
6.HGCROC 3B
ICRH3b
013263 2824
7.QP00624
8.QP00623
9.QP00594",TRUE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00179 (320XHF4BPP00004).docx,"2024.11.15 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300180,,Plotech,TRUE,320-07-01-003-00180,,TRUE,<0.50,1.307,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00180,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300181,,Plotech,TRUE,320-07-01-003-00181,,TRUE,<0.50,1.311,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00181,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300182,,Plotech,TRUE,320-07-01-003-00182,,TRUE,<0.50,1.305,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00182,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300183,,Plotech,TRUE,320-07-01-003-00183,,TRUE,<0.50,1.318,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00183,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300186,,Plotech,TRUE,320-07-01-003-00186,,TRUE,<0.50,1.311,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00186,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
,2434,320070100300187,,Plotech,TRUE,320-07-01-003-00187,,TRUE,<0.50,1.320,TRUE,TRUE,TRUE,NA,TRUE,TRUE,TRUE,2024.11.26,,,,FALSE,FALSE,FALSE,FALSE,,FALSE,FALSE,Hexaboard8_V3HD2024_Traveler_320-07-01-003-00187,"2024.11.26 (上件完成-開箱) 
2024.10.25 to MT (上件)"
