"DISPLAY_NAME","LABEL_TYPECODE","LPNAME"
"LD Wagon East 1F1P Topo A Geom1 - Scissors","WE-11A1","LD Wagon East 1F1P Topo A Geom1 - Scissors"
"LD Wagon East 1F TopoB Geom1 - Flower","WE-10B1","LD Wagon East 1F TopoB Geom1 - Flower"
"PCB LD Three",,"PCB LD Type 7"
"PCB HD Five",,"PCB HD Type 5"
"PCB baseplate with Kapton overlay V3",,
"PCB baseplate with Kapton overlay V2",,
"PCB baseplate with Kapton overlay V1",,
"HGC Choptwo(-) Sensor",,
"HGC Three Sensor",,
"HGC Five Sensor",,
"HGC Half Sensor",,
"HGC HD Hex PCB",,
"HAD 300um Si ProtoModule LD Bottom","PL-B3C","HAD 300um Si ProtoModule LD Type 2"
"HAD 300um Si ProtoModule LD Left","PL-L3C","HAD 300um Si ProtoModule LD Type 3"
"HAD 300um Si ProtoModule LD Right","PL-R3C","HAD 300um Si ProtoModule LD Type 4"
"HAD 120um Si Module HD Full","MH-F1C","HAD 120um Si Module HD Type 0"
"HAD 120um Si Module HD Top","MH-T1C","HAD 120um Si Module HD Type 1"
"HAD 120um Si Module HD Bottom","MH-B1C","HAD 120um Si Module HD Type 2"
"HAD 120um Si Module HD Left","MH-L1C","HAD 120um Si Module HD Type 3"
"HAD 200um Si Module LD Full","ML-F2C","HAD 200um Si Module LD Type 0"
"HAD 200um Si Module LD Top","ML-T2C","HAD 200um Si Module LD Type 1"
"HAD 200um Si Module LD Bottom","ML-B2C","HAD 200um Si Module LD Type 2"
"HAD 200um Si Module LD Left","ML-L2C","HAD 200um Si Module LD Type 3"
"HAD 200um Si Module LD Five","ML-52C","HAD 200um Si Module LD Type 5"
"HAD 300um Si Module LD Full","ML-F3C","HAD 300um Si Module LD Type 0"
"HAD 300um Si Module LD Top","ML-T3C","HAD 300um Si Module LD Type 1"
"HAD 300um Si Module LD Left","ML-L3C","HAD 300um Si Module LD Type 3"
"HAD 300um Si Module LD Right","ML-R3C","HAD 300um Si Module LD Type 4"
