Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數
2024-12-09 13:50:44,320070100300032,320XHF4BPP00044,,Plotech,v3B,012124 2824,013062 2824,013426 2824,013430 2824,013015 2824,013105 2824,QP00647,QP00654,QP00646,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.55,Pass,Pass,Pass,3.4/1.08,No,,
2024-12-09 14:08:09,320070100300182,320XHF4BPP00045,,Plotech,v3B,013635 2824,013627 2824,013600 2824,013624 2824,013587 2824,013577 2824,QP00542,QP00541,QP00544,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.21/0.65,Pass,Pass,Pass,3.33/1.09,No,,
2024-12-09 14:24:54,320070100300183,320XHF4BPP00046,,Plotech,v3B,013578 2824,013636 2824,013649 2824,013617 2824,013652 2824,013648 2824,QP00539,QP00538,QP00540,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.71,Pass,Pass,Pass,3.42/1.10,No,,
2024-12-09 14:41:36,320070100300038,320XHF4BPP00047,,Plotech,v3B,013244 2824,013102 2824,013196 2824,013220 2824,013185 2824,013179 2824,QPOO371,QPOO506,QPOO372,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.21/0.60,Pass,Pass,Pass,3.33/1.05,No,,
2024-12-09 14:56:52,320070100300003,320XHF4BPP00048,,Plotech,v3B,013080 2824,013061 2824,013202 2824,013089 2824,013114 2824,013074 2824,QP00354,QP00353,QP00355,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.63,Pass,Pass,Pass,3.35/1.20,No,,
2024-12-09 15:16:08,320070100300031,320XHF4BPP00013,,Plotech,v3B,013478 2824,013260 2824,013506 2824,013530 2824,013368 2824,013630 2824,QP00663,QP00642,QP00611,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.66,Pass,Pass,Pass,3.4/1.08,No,,
2024-12-09 15:29:58,320070100300126,320XHF4BPP00020,,Plotech,v3B,012064 2824,012019 2824,012276 2824,013512 2824,013330 2824,012230 2824,QP00578,QP00577,QP00579,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.74,Pass,Pass,Pass,3.43/1.06,No,,
2024-12-09 15:50:13,320070100300077,320XHF4BPP00019,,Plotech,v3B,012025 2824,012003 2824,012066 2824,012045 2824,012075 2824,012068 2824,QP00545,QP00576,QP00546,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.48,Pass,Pass,Pass,3.39/1.10,No,,
2024-12-09 16:23:54,320070100300007,320XHF4BPP00049,,Plotech,v3B,013217 2824,013183 2824,013063 2824,013357 2824,013240 2824,013028 2824,QP00377,QP00376,QP00380,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.61,Pass,Pass,Pass,3.3/1.2,No,,
2024-12-09 16:38:39,320070100300040,320XHF4BPP00050,,Plotech,v3B,013116 2824,013272 2824,013104 2824,013273 2824,013188 2824,013187 2824,QP00501,QP00500,QP00502,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.58,Pass,Pass,Pass,3.3/1.2,No,,
