Timestamp,Bare serial number ,Assembled hexaboard serial number,Batch number,Manufacturer,HGCROC chip version,IC1,IC2,IC3,IC4,IC5,IC6,LDO1,LDO2,LDO3,Visual inspection [HGCROC chip rotation],Visual inspection [Connector],Visual inspection [Component],Visual inspection [Chip],Power short test [P1V5A],Power short test [P1V5D],Power short test [P1V2A],Power short test [P1V2D],Power-on voltage status [P1V5A],Power-on voltage status [P1V5D],Power-on voltage status [P1V2A],Power-on voltage status [P1V2D],Power-on current,HV circuit status,Function [Configuration status],Function [DAQ links status],Operation current,Half chip damage,General comments,分數,Column 35
2025-02-18 07:25:29,320070100300105,320XHF4BPP00080,,Plotech,v3B,013255 2824,013190 2824,013227 2824,013192 2824,013385 2824,013282 2824,QP00324,QP00323,QP00326,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.82,Pass,Pass,Pass,3.2/1.12,normal,,,
2025-02-18 07:39:30,320070100300081,320XHF4BPP00088,,Plotech,v3B,013637 2824,013418 2824,013271 2824,013328 2824,013178 2824,013401 2824,QP01062,QP01019,QP01045,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.55,Pass,Pass,Pass,3.4/1.11,normal,,,
2025-02-18 07:54:50,320070100300095,320XHF4BPP00090,,Plotech,v3B,013541 2824,013460 2824,013384 2824,013251 2824,013254 2824,013459 2824,QP00328,QP00327,QP00329,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.55,Pass,Pass,Pass,3.38/1.11,normal,,,
2025-02-18 08:09:01,320070100300009,320XHF4BPP00023,,Plotech,v3B,013181 2824,013595 2824,013831 2824,013573 2824,013292 2824,013451 2824,QP01209,QP01056,QP01244,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.69,Pass,Pass,Pass,3.4/1.12,normal,,,
2025-02-18 08:34:44,320070100300090,320XHF4BPP00001,,Plotech,v3B,012053 2824,012168 2824,012153 2824,012012 2824,012043 2824,012013 2824,QP00563,QP00562,QP00564,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.23/0.63,,Pass,Pass,3.48/1.14,normal,已焊短路電阻/線,,
2025-02-18 08:52:50,320070100300089,320XHF4BPP00002,,Plotech,v3B,012181 2824,012173 2824,012221 2824,012004 2824,012078 2824,012201 2824,QP00567,QP00566,QP00568,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.74,,Pass,Pass,3.48/1.15,normal,已焊短路電阻/線,,
2025-02-18 09:19:03,320070100300106,320XHF4BPP00081,,Plotech,v3B,013194 2824,013231 2824,013034 2824,013035 2824,013043 2824,013242 2824,QP00321,QP00352,QP00322,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.228/0.87,Pass,Pass,Pass,3.44/1.13,normal,,,
2025-02-19 02:56:42,320070100300020,320XHF4BPP00003,,Plotech,v3B,013455 2824,013479 2824,013477 2824,013416 2824,013404 2824,013429 2824,QP01205,QP01118,QP01215,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.67,,Pass,Pass,3.4/1.08,normal,已焊短路電阻/線 ,,
2025-02-19 03:17:28,320070100300179,320XHF4BPP00004,,Plotech,v3B,013575 2824,013263 2824,013206 2824,013215 2824,013026 2824,013504 2824,QP00624,QP00623,QP00594,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.224/0.79,,Pass,Pass,3.36/1.13,normal,已焊短路電阻/線,,
2025-02-19 03:34:18,320070100300080,320XHF4BPP00005,,Plotech,v3B,013414 2824,013533 2824,013347 2824,013536 2824,013423 2824,013127 2824,QP01026,QP01029,QP01023,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.224/0.56,,Pass,Pass,3.42/1.07,normal,已焊短路電阻/線,,
2025-02-19 03:49:29,320070100300074,320XHF4BPP00006,,Plotech,v3B,013237 2824,013306 2824,013248 2824,013247 2824,013235 2824,013294 2824,QP00726,QP01077,QP01084,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.226/0.79,,Pass,Pass,3.36/1.10,normal,已焊短路電阻/線,,
2025-02-19 09:02:28,320070100300097,320XHF4BPP00081,,Plotech,v3B,013816 2824,013640 2824,013237 2824,013841 2824,013593 2824,013117 2824,QP00523,QP00522,QP00524,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,Pass,0.22/0.81,Pass,Pass,Pass,3.44/1.12,normal,,,
